Longitude,Latitude
-77.01659608,39.07947006
-77.08050342,39.08030873
-77.16190219,39.08071697
-76.94235603,39.08327275
-77.04750675,39.0889261
-77.04511882,39.08897165
-77.14350684,39.09249618
-77.19228421,39.09382228
-77.16556477,39.09867267
-76.98711671,39.0993502
-77.20114678,39.1002246
-77.02743899,39.1016272
-76.97136867,39.10508934
-76.9397226,39.10697135
-76.9250481,39.10880677
-77.15486962,39.11071193
-77.17110963,39.11107016
-77.20166822,39.11455375
-77.23238578,39.11628334
-77.16473806,39.11716794
-77.18403446,39.11919939
-77.17874937,39.12249226
-77.18279934,39.12600854
-77.23199036,39.12732204
-77.08141497,39.12911131
-77.20062197,39.13052194
-77.22870269,39.13119537
-77.18870374,39.13196003
-77.22760036,39.13461828
-77.1194998,39.14109002
-77.11572273,39.14253938
-77.06747608,39.14267069
-77.22834655,39.14605875
-77.41672647,39.14613382
-77.41672647,39.14613382
-77.27460667,39.14617169
-77.20405895,39.15067674
-77.06679477,39.15127316
-77.06222702,39.1518981
-77.16475447,39.15242739
-77.19841338,39.15246141
-77.07124977,39.15621045
-77.1985071,39.15853519
-77.1985071,39.15853519
-77.19843773,39.15964839
-77.26535923,39.1601937
-77.22750455,39.16043984
-77.28163516,39.16214847
-77.28093469,39.16675328
-77.20504911,39.16715506
-77.2695775,39.1686225
-77.2838578,39.17052917
-77.18731105,39.17656379
-77.26734863,39.17883254
-77.26849811,39.1802436
-77.23852438,39.18117091
-77.21280371,39.1818636
-77.16084539,39.18394757
-77.16084539,39.18394757
-77.26660333,39.18723087
-77.26646309,39.18729082
-77.20363791,39.18969632
-77.27573322,39.1965221
-77.24491824,39.19841751
-77.2778845,39.22153117
-77.25516608,39.22283127
-77.27744918,39.23393415
-77.21783523,39.26088527
-77.22250414,39.2864562
-77.1834299,39.32254252
-77.08654777,38.96017479
-77.08322096,38.97883485
-77.026609,38.98452
-77.0266433,38.98533958
-77.0266433,38.98533958
-77.0266433,38.98533958
-77.13307949,38.98640236
-77.02959872,38.98696707
-77.1034147,38.9872415
-77.02667188,38.98807067
-77.09736659,38.98891243
-76.98776588,38.98902423
-77.03219456,38.99010616
-77.02664,38.99063996
-77.0956403,38.99098907
-77.09756624,38.99115294
-77.03646619,38.99220824
-77.03646619,38.99220824
-77.06351395,38.99321689
-77.02798811,38.99339379
-77.03233957,38.99362032
-77.03157952,38.99393828
-77.0345042,38.9945237
-77.02446204,38.99538517
-77.02916275,38.99543874
-76.99372617,38.99725417
-76.98936586,38.99909434
-76.98849991,39.00108131
-77.12782301,39.00169772
-76.99576033,39.00249982
-76.99576033,39.00249982
-77.02008358,39.00769069
-77.04059475,39.00958329
-77.08421219,39.00975853
-77.04153139,39.01232085
-76.97969969,39.01249067
-77.04197271,39.01326859
-76.97686686,39.01524051
-77.0175834,39.02254282
-77.00682142,39.02508802
-77.01084867,39.02605364
-77.01627211,39.03006905
